PhysicalEntity336;SmallMolecule513	PhysicalEntity335;SmallMolecule512
PhysicalEntity338;SmallMolecule317	PhysicalEntity337;SmallMolecule300
PhysicalEntity340;SmallMolecule513	PhysicalEntity339;SmallMolecule512
PhysicalEntity350;SmallMolecule317	PhysicalEntity349;SmallMolecule300
Rna100;Rna101;Rna102;Rna103;Rna104;Rna105;Rna106;Rna107;Rna108;Rna109;Rna110;Rna111;Rna112;Rna113;Rna114;Rna115;Rna116;Rna117;Rna118;Rna119;Rna120;Rna121;Rna122;Rna123;Rna124;Rna97;Rna98;Rna99	PhysicalEntity351
Complex267	Protein539
Rna135;SmallMolecule542	Rna134;SmallMolecule307;SmallMolecule541
PhysicalEntity356	PhysicalEntity353
PhysicalEntity359	PhysicalEntity356;SmallMolecule543
PhysicalEntity366;SmallMolecule545	PhysicalEntity362;SmallMolecule544
PhysicalEntity377;SmallMolecule542	PhysicalEntity376;SmallMolecule546
PhysicalEntity379;SmallMolecule545	PhysicalEntity378;SmallMolecule544
PhysicalEntity381;SmallMolecule545	PhysicalEntity380;SmallMolecule544
PhysicalEntity118;SmallMolecule421;SmallMolecule498	PhysicalEntity382;SmallMolecule13;SmallMolecule547
Complex278;SmallMolecule19	Complex267;SmallMolecule13
PhysicalEntity119;SmallMolecule421;SmallMolecule498	PhysicalEntity383;SmallMolecule13;SmallMolecule227
PhysicalEntity120;SmallMolecule421;SmallMolecule498	PhysicalEntity384;SmallMolecule13;SmallMolecule548
PhysicalEntity121;SmallMolecule421;SmallMolecule498	PhysicalEntity385;SmallMolecule13;SmallMolecule549
PhysicalEntity122;SmallMolecule421;SmallMolecule498	PhysicalEntity386;SmallMolecule13;SmallMolecule348
PhysicalEntity124;SmallMolecule421;SmallMolecule498	PhysicalEntity387;SmallMolecule13;SmallMolecule150
PhysicalEntity123;SmallMolecule421;SmallMolecule498	PhysicalEntity388;SmallMolecule13;SmallMolecule411
PhysicalEntity125;SmallMolecule421;SmallMolecule498	PhysicalEntity389;SmallMolecule13;SmallMolecule354
PhysicalEntity126;SmallMolecule421;SmallMolecule498	PhysicalEntity329;SmallMolecule13;SmallMolecule550
PhysicalEntity127;SmallMolecule421;SmallMolecule498	PhysicalEntity390;SmallMolecule13;SmallMolecule551
PhysicalEntity128;SmallMolecule421;SmallMolecule498	PhysicalEntity391;SmallMolecule13;SmallMolecule208
Complex289	Complex267;SmallMolecule73
PhysicalEntity129;SmallMolecule421;SmallMolecule498	PhysicalEntity392;SmallMolecule13;SmallMolecule552
PhysicalEntity130;SmallMolecule421;SmallMolecule498	PhysicalEntity393;SmallMolecule13;SmallMolecule357
PhysicalEntity131;SmallMolecule421;SmallMolecule498	PhysicalEntity394;SmallMolecule13;SmallMolecule294
PhysicalEntity132;SmallMolecule421;SmallMolecule498	PhysicalEntity395;SmallMolecule13;SmallMolecule553
PhysicalEntity133;SmallMolecule421;SmallMolecule498	PhysicalEntity396;SmallMolecule13;SmallMolecule554
PhysicalEntity134;SmallMolecule421;SmallMolecule498	PhysicalEntity397;SmallMolecule13;SmallMolecule555
PhysicalEntity135;SmallMolecule421;SmallMolecule498	PhysicalEntity398;SmallMolecule13;SmallMolecule556
PhysicalEntity136;SmallMolecule421;SmallMolecule498	PhysicalEntity399;SmallMolecule13;SmallMolecule557
PhysicalEntity137;SmallMolecule421;SmallMolecule498	PhysicalEntity400;SmallMolecule13;SmallMolecule558
SmallMolecule20	SmallMolecule29;SmallMolecule421
Complex290	Complex278;Protein499
PhysicalEntity402;SmallMolecule542;SmallMolecule560	PhysicalEntity401;SmallMolecule307;SmallMolecule559
PhysicalEntity404;SmallMolecule542;SmallMolecule560	PhysicalEntity403;SmallMolecule307;SmallMolecule561
PhysicalEntity406;SmallMolecule542;SmallMolecule560	PhysicalEntity405;SmallMolecule307;SmallMolecule562
PhysicalEntity408;SmallMolecule542;SmallMolecule560	PhysicalEntity407;SmallMolecule307;SmallMolecule563
PhysicalEntity410;SmallMolecule542;SmallMolecule560	PhysicalEntity409;SmallMolecule307;SmallMolecule543
PhysicalEntity412;SmallMolecule542;SmallMolecule560	PhysicalEntity411;SmallMolecule307;SmallMolecule505
PhysicalEntity414;SmallMolecule542;SmallMolecule560	PhysicalEntity413;SmallMolecule307;SmallMolecule504
PhysicalEntity416;SmallMolecule542;SmallMolecule560	PhysicalEntity415;SmallMolecule307;SmallMolecule564
PhysicalEntity418;SmallMolecule542;SmallMolecule560	PhysicalEntity417;SmallMolecule307;SmallMolecule565
PhysicalEntity420;SmallMolecule542;SmallMolecule560	PhysicalEntity419;SmallMolecule307;SmallMolecule566
Complex291	Complex290;Protein500
PhysicalEntity422;SmallMolecule542;SmallMolecule560	PhysicalEntity421;SmallMolecule307;SmallMolecule567
PhysicalEntity424;SmallMolecule542;SmallMolecule560	PhysicalEntity423;SmallMolecule307;SmallMolecule568
PhysicalEntity426;SmallMolecule542;SmallMolecule560	PhysicalEntity425;SmallMolecule307;SmallMolecule569
PhysicalEntity428;SmallMolecule542;SmallMolecule560	PhysicalEntity427;SmallMolecule307;SmallMolecule570
PhysicalEntity430;SmallMolecule542;SmallMolecule560	PhysicalEntity429;SmallMolecule307;SmallMolecule571
PhysicalEntity432;SmallMolecule542;SmallMolecule560	PhysicalEntity431;SmallMolecule307;SmallMolecule572
PhysicalEntity434;SmallMolecule542;SmallMolecule560	PhysicalEntity433;SmallMolecule307;SmallMolecule573
PhysicalEntity436;SmallMolecule542;SmallMolecule560	PhysicalEntity435;SmallMolecule307;SmallMolecule574
PhysicalEntity438;SmallMolecule542;SmallMolecule560	PhysicalEntity437;SmallMolecule307;SmallMolecule575
PhysicalEntity440;SmallMolecule542;SmallMolecule560	PhysicalEntity439;SmallMolecule307;SmallMolecule576
SmallMolecule19;SmallMolecule42	SmallMolecule13;SmallMolecule41
SmallMolecule577	SmallMolecule502;SmallMolecule542
Complex1876;SmallMolecule498	Complex1875;SmallMolecule29
PhysicalEntity443;Protein3671;Protein3794;Protein3795;Protein3796;Protein3797;Protein3798;SmallMolecule498	Complex1876;SmallMolecule29
PhysicalEntity443;Protein3671;Protein3794;Protein3795;Protein3796;Protein3797;Protein3798;SmallMolecule498	Complex1876;SmallMolecule29
PhysicalEntity444;SmallMolecule498;SmallMolecule579;SmallMolecule580;SmallMolecule581	PhysicalEntity443;SmallMolecule29
PhysicalEntity445;SmallMolecule582	PhysicalEntity444;SmallMolecule29
SmallMolecule20;SmallMolecule583	SmallMolecule29;SmallMolecule582
Complex1882	Complex1881;PhysicalEntity443
Complex1883;SmallMolecule584	Complex1882;SmallMolecule29
